2023-04-30 20:14:41 *	Now talking on #kerthawards
2023-04-30 21:48:15 <KathyB>	Welcome, everyone! We're at T-13 minutes and counting for the 2023 Kerth Awards -- our 25th Annual Kerth Awards!
2023-04-30 21:48:27 <KathyB>	If you're not already in #kerthchat, please join us there. :) 
2023-04-30 21:48:55 *	CRene (Mibbit@cloak-ABC2EF5A.nc.res.rr.com) has joined
2023-04-30 21:55:03 *	Songbird (Mibbit@cloak-BE5DFB2A.socal.res.rr.com) has joined
2023-04-30 22:01:20 *	Blueowl (Mibbit@496E62E.29FD92D1.E449F2C6.IP) has joined
2023-04-30 22:01:24 <KathyB>	Hello everyone! Welcome to the 2023 Kerth Awards!
2023-04-30 22:01:55 <KathyB>	Just a reminder that this channel will be for the ceremony only, but we have open chatting in #kerthchat
2023-04-30 22:02:02 <KathyB>	Please join us in #kerthchat if you're not already there :) 
2023-04-30 22:02:18 <KathyB>	We'll be getting started in just another minute or two, while we wait for any last minute attendees to log on
2023-04-30 22:05:57 *	Blueowl has quit (Quit: Blueowl)
2023-04-30 22:06:20 *	Blueowl (Mibbit@496E62E.29FD92D1.E449F2C6.IP) has joined
2023-04-30 22:06:47 <KathyB>	Hello everyone, and welcome to the 25th Annual Lois & Clark Fanfic Kerth Awards! And a big thank you to the Kerth Committee for inviting me to act as Master of Ceremonies for tonight’s Jubilee celebration!
2023-04-30 22:06:48 *	bakasi (Mibbit@cloak-6EBA0717.dip0.t-ipconnect.de) has joined
2023-04-30 22:07:40 <KathyB>	Lois & Clark: The New Adventures of Superman debuted nearly 30 years ago (!) on September 12, 1993, and the online fandom began gathering very soon thereafter. To the best of my knowledge, the first L&C-specific fanfic was “Counter Clark-Wise”, written by Zoomway in the summer of 1994. The Lois & Clark Fanfic Archive now boasts 4,278 stories, and that’s not e
2023-04-30 22:07:50 <KathyB>	and that’s not even counting all the recent stories that have not yet been uploaded or the many stories rated above PG-13 that are housed elsewhere. 
2023-04-30 22:08:04 <KathyB>	The Kerth Awards have a similarly long and wonderful history. In the spring of 1998, Leanne Shawler mentioned that a previous fandom she’d been involved with had done fanfic awards. 
2023-04-30 22:08:11 <KathyB>	FoLCs were immediately enthusiastic about the idea, and Leanne and Pam Jernigan came up with 28 categories to honor all the stories that had been posted from 1994-1997. 
2023-04-30 22:08:22 <KathyB>	As you can imagine, competition was incredibly fierce, with hundreds of amazing stories up for nomination and voting! Once the votes were tallied, an award ceremony was held on IRC, with over 70 FoLCs in attendance.
2023-04-30 22:08:28 *	Blueowl_ (Mibbit@496E62E.29FD92D1.E449F2C6.IP) has joined
2023-04-30 22:08:48 <KathyB>	With the popularity of the Kerth Awards obvious, and with a desire to make it an annual event, a new Kerth Committee was formed for year two, with Erin Klingler taking the helm, joined by Pam and myself. 
2023-04-30 22:08:54 <KathyB>	I cannot overstate how amazing this experience was, and over the next six years, from 1999-2005, we had a wonderful time celebrating all the high quality fanfic the fans of Lois & Clark have graced the fandom with.
2023-04-30 22:09:05 <KathyB>	The committee has evolved over the years, with new coordinators, quiz masters, and presenters volunteering their time. 
2023-04-30 22:09:24 <KathyB>	So please join me in giving a huge thank you to all of our past committee members who have helped over the years -- Erin, Pam, Annette, Helene, Yvonne, Wendy, Tricia, KathyM, Felicia, Vicki, and Val 
2023-04-30 22:09:32 <KathyB>	– and a just as huge welcome to our newest KComm members – Sara, Michael, Sara, and Annie! Not to mention the many, many FoLCs who have presented awards, created videos and fanart, nominated stories, and of course, voted for their favorites.
2023-04-30 22:09:45 <KathyB>	Thank you all for making the Lois & Clark fandom still a wonderful place to be, even after 30 years! :D
