2023-04-30 20:14:41 *	Now talking on #kerthchat
2023-04-30 21:41:57 <Meadowlark>	Hi!  I am new to Mibbit.  Could someone please tell me how to start a Log of this?
2023-04-30 21:46:34 <KathyB>	Hello everyone! We're so glad to see you here!
2023-04-30 21:47:01 <KSaraSara>	I'm not sure how to start a log on Mibbit! But we do have two people logging and will have a side-by-side transcript available after the ceremony!
2023-04-30 21:47:17 <KathyB>	Meadowlark, hopefully someone will figure it out! This is a blast from the past, alright!
2023-04-30 21:48:06 <AnnieM>	T-13 minutes until the ceremony starts! Does everyone have their drink/snack/etc ready?!
2023-04-30 21:48:10 <Meadowlark>	Ok, a Transcript would great.  
2023-04-30 21:49:01 <AnnieM>	The side by side transcripts are great because you can see the chat room reactions along with the ceremony
2023-04-30 21:49:15 <KSaraSara>	... I'm still drinking my coffee... thanks to my thermal mug... it's still got a touch of warmth to it lol
2023-04-30 21:49:17 *	CRene (Mibbit@cloak-ABC2EF5A.nc.res.rr.com) has joined
2023-04-30 21:51:18 <Meadowlark>	Think I found part of the logging.  If you are logged in, at the top right open "Prefs", then General tab, there is a check box. The opt to Save must be somewhere else.
2023-04-30 21:53:41 <Meadowlark>	It's nice to have this back on IRC.  I haven't been here is a long time.
2023-04-30 21:54:00 <KSaraSara>	Same here! It's a blast from the past! 
2023-04-30 21:54:05 <Doranwen>	I love IRC. :D
2023-04-30 21:54:05 <KathyB>	Ah, that's probably why I don't see it. I'm not logged in. Gosh, this really takes me back!
2023-04-30 21:54:34 <Doranwen>	I'm on it a lot these days keeping an eye on ArchiveTeam stuff, but most of fandom has sadly moved to other pastures.
2023-04-30 21:54:52 <AnnieM>	It's been a solid 20 years since I was on IRC. Definitely a blast from the past.
2023-04-30 21:55:27 <KSaraSara>	But surely we're not that old?? LOL
2023-04-30 21:56:13 <AnnaBtG>	@KSaraSara: we definitely don't look it! 😁
2023-04-30 21:56:25 <AnnaBtG>	(speaking of which, how does my emoji look?)
2023-04-30 21:56:31 <Doranwen>	AnnaBtG: Super tiny and hard to read.
2023-04-30 21:56:54 <AnnaBtG>	I took it from the keyboard 
2023-04-30 21:57:03 <Meadowlark>	So some of you have been around here for a long time.  Before this starts, can I share some sad news?  Don't want to be a downner.
